county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Alameda,3/29/2020,36,91,,,20,16,119
Alameda,3/30/2020,59,94,,,27,18,160
Alameda,3/31/2020,56,89,,,27,17,63
Alameda,4/1/2020,52,76,,,27,15,106
Alameda,4/2/2020,57,76,,,29,17,112
Alameda,4/3/2020,64,74,,,32,13,117
Alameda,4/4/2020,60,95,,,35,18,120
Alameda,4/5/2020,72,87,,,39,13,113
Alameda,4/6/2020,79,70,,,43,19,92
Alameda,4/7/2020,76,84,,,43,25,90
Alameda,4/8/2020,84,69,,,45,18,111
Alameda,4/9/2020,80,76,,,44,18,107
Alameda,4/10/2020,93,71,,,45,26,128
Alameda,4/11/2020,87,91,,,46,19,121
Alameda,4/12/2020,91,101,,,42,21,52
Alameda,4/13/2020,85,81,,,40,21,58
Alameda,4/14/2020,92,106,,,34,21,61
Alameda,4/15/2020,81,99,,,34,11,70
Alameda,4/16/2020,73,82,,,31,9,66
Alameda,4/17/2020,85,91,,,35,18,55
Alameda,4/18/2020,82,73,,,36,16,62
Alameda,4/19/2020,84,63,,,37,5,61
Alameda,4/20/2020,114,78,55,,52,7,66
Alameda,4/21/2020,56,33,89,591,27,6,59
Alameda,4/22/2020,84,61,145,1141,38,17,46
Alameda,4/23/2020,81,90,171,1129,37,24,95
Alameda,4/24/2020,79,63,142,1127,39,10,110
Alameda,4/25/2020,83,53,136,1748,39,6,197
Alameda,4/26/2020,84,43,127,1748,42,5,191
Alameda,4/27/2020,81,47,128,1748,39,8,183
Alameda,4/28/2020,76,64,140,1748,37,13,148
Alameda,4/29/2020,76,63,139,1746,33,13,168
Alameda,4/30/2020,74,52,126,1746,34,12,165
Alameda,5/1/2020,75,60,135,1746,32,13,165
Alameda,5/2/2020,73,59,132,1746,31,7,163
Alameda,5/3/2020,73,62,135,1746,33,15,164
Alameda,5/4/2020,73,62,135,1769,31,15,163
Alameda,5/5/2020,76,71,147,2446,28,14,143
Alameda,5/6/2020,78,58,136,2407,34,9,171
Alameda,5/7/2020,75,61,136,2446,34,9,131
Alameda,5/8/2020,80,56,136,2446,38,8,126
Alameda,5/9/2020,81,58,139,2446,40,11,122
Alameda,5/10/2020,77,46,123,2446,40,4,125
Alameda,5/11/2020,78,53,131,2446,36,13,125
Alameda,5/12/2020,79,51,130,2446,34,12,116
